"","time","value","age_group","econ_sector","vaccine_group","compartment"
"1",0,3924489.607551,"0-4","sector_00","unvaccinated","susceptible"
"2",1,3924489.49076855,"0-4","sector_00","unvaccinated","susceptible"
"3",2,3924489.39187967,"0-4","sector_00","unvaccinated","susceptible"
"4",3,3924489.29886601,"0-4","sector_00","unvaccinated","susceptible"
"5",4,3924489.20477576,"0-4","sector_00","unvaccinated","susceptible"
"6",5,3924489.10529062,"0-4","sector_00","unvaccinated","susceptible"
"7",6,3924488.99743359,"0-4","sector_00","unvaccinated","susceptible"
"8",7,3924488.87887602,"0-4","sector_00","unvaccinated","susceptible"
"9",8,3924488.74755981,"0-4","sector_00","unvaccinated","susceptible"
"10",9,3924488.60148484,"0-4","sector_00","unvaccinated","susceptible"
"11",10,3924488.43858313,"0-4","sector_00","unvaccinated","susceptible"
"12",0,11762037.8237961,"5-19","sector_00","unvaccinated","susceptible"
"13",1,11762037.1735627,"5-19","sector_00","unvaccinated","susceptible"
"14",2,11762036.6320492,"5-19","sector_00","unvaccinated","susceptible"
"15",3,11762036.126086,"5-19","sector_00","unvaccinated","susceptible"
"16",4,11762035.6143383,"5-19","sector_00","unvaccinated","susceptible"
"17",5,11762035.0719165,"5-19","sector_00","unvaccinated","susceptible"
"18",6,11762034.482242,"5-19","sector_00","unvaccinated","susceptible"
"19",7,11762033.83272,"5-19","sector_00","unvaccinated","susceptible"
"20",8,11762033.112409,"5-19","sector_00","unvaccinated","susceptible"
"21",9,11762032.3107346,"5-19","sector_00","unvaccinated","susceptible"
"22",10,11762031.4167465,"5-19","sector_00","unvaccinated","susceptible"
"23",0,6905936.3094063,"20-64","sector_00","unvaccinated","susceptible"
"24",1,6905936.03998306,"20-64","sector_00","unvaccinated","susceptible"
"25",2,6905935.8116651,"20-64","sector_00","unvaccinated","susceptible"
"26",3,6905935.5946061,"20-64","sector_00","unvaccinated","susceptible"
"27",4,6905935.3718463,"20-64","sector_00","unvaccinated","susceptible"
"28",5,6905935.13304602,"20-64","sector_00","unvaccinated","susceptible"
"29",6,6905934.87117731,"20-64","sector_00","unvaccinated","susceptible"
"30",7,6905934.58076566,"20-64","sector_00","unvaccinated","susceptible"
"31",8,6905934.25694262,"20-64","sector_00","unvaccinated","susceptible"
"32",9,6905933.89492151,"20-64","sector_00","unvaccinated","susceptible"
"33",10,6905933.48969239,"20-64","sector_00","unvaccinated","susceptible"
"34",0,12663010.7336988,"65+","sector_00","unvaccinated","susceptible"
"35",1,12663010.4750903,"65+","sector_00","unvaccinated","susceptible"
"36",2,12663010.2644296,"65+","sector_00","unvaccinated","susceptible"
"37",3,12663010.0706634,"65+","sector_00","unvaccinated","susceptible"
"38",4,12663009.8761839,"65+","sector_00","unvaccinated","susceptible"
"39",5,12663009.6704005,"65+","sector_00","unvaccinated","susceptible"
"40",6,12663009.446316,"65+","sector_00","unvaccinated","susceptible"
"41",7,12663009.1986904,"65+","sector_00","unvaccinated","susceptible"
"42",8,12663008.9230441,"65+","sector_00","unvaccinated","susceptible"
"43",9,12663008.6151051,"65+","sector_00","unvaccinated","susceptible"
"44",10,12663008.2704894,"65+","sector_00","unvaccinated","susceptible"
"45",0,390745.9609254,"20-64","sector_01","unvaccinated","susceptible"
"46",1,390745.940222042,"20-64","sector_01","unvaccinated","susceptible"
"47",2,390745.922788936,"20-64","sector_01","unvaccinated","susceptible"
"48",3,390745.906374964,"20-64","sector_01","unvaccinated","susceptible"
"49",4,390745.889693908,"20-64","sector_01","unvaccinated","susceptible"
"50",5,390745.871959138,"20-64","sector_01","unvaccinated","susceptible"
"51",6,390745.852636821,"20-64","sector_01","unvaccinated","susceptible"
"52",7,390745.831314047,"20-64","sector_01","unvaccinated","susceptible"
"53",8,390745.807627344,"20-64","sector_01","unvaccinated","susceptible"
"54",9,390745.781222877,"20-64","sector_01","unvaccinated","susceptible"
"55",10,390745.751733179,"20-64","sector_01","unvaccinated","susceptible"
"56",0,16797.9983202,"20-64","sector_02","unvaccinated","susceptible"
"57",1,16797.997339516,"20-64","sector_02","unvaccinated","susceptible"
"58",2,16797.9965108102,"20-64","sector_02","unvaccinated","susceptible"
"59",3,16797.9957278257,"20-64","sector_02","unvaccinated","susceptible"
"60",4,16797.9949299617,"20-64","sector_02","unvaccinated","susceptible"
"61",5,16797.994080204,"20-64","sector_02","unvaccinated","susceptible"
"62",6,16797.9931534365,"20-64","sector_02","unvaccinated","susceptible"
"63",7,16797.9921302046,"20-64","sector_02","unvaccinated","susceptible"
"64",8,16797.99099334,"20-64","sector_02","unvaccinated","susceptible"
"65",9,16797.989726084,"20-64","sector_02","unvaccinated","susceptible"
"66",10,16797.988310992,"20-64","sector_02","unvaccinated","susceptible"
"67",0,16595.9983404,"20-64","sector_03","unvaccinated","susceptible"
"68",1,16595.9975118619,"20-64","sector_03","unvaccinated","susceptible"
"69",2,16595.9968142478,"20-64","sector_03","unvaccinated","susceptible"
"70",3,16595.9961585252,"20-64","sector_03","unvaccinated","susceptible"
"71",4,16595.995493653,"20-64","sector_03","unvaccinated","susceptible"
"72",5,16595.9947883028,"20-64","sector_03","unvaccinated","susceptible"
"73",6,16595.9940211527,"20-64","sector_03","unvaccinated","susceptible"
"74",7,16595.9931756919,"20-64","sector_03","unvaccinated","susceptible"
"75",8,16595.9922373971,"20-64","sector_03","unvaccinated","susceptible"
"76",9,16595.9911921565,"20-64","sector_03","unvaccinated","susceptible"
"77",10,16595.9900253443,"20-64","sector_03","unvaccinated","susceptible"
"78",0,22630.9977369,"20-64","sector_04","unvaccinated","susceptible"
"79",1,22630.9962688393,"20-64","sector_04","unvaccinated","susceptible"
"80",2,22630.9950508985,"20-64","sector_04","unvaccinated","susceptible"
"81",3,22630.9939169703,"20-64","sector_04","unvaccinated","susceptible"
"82",4,22630.9927729006,"20-64","sector_04","unvaccinated","susceptible"
"83",5,22630.9915619045,"20-64","sector_04","unvaccinated","susceptible"
"84",6,22630.9902461896,"20-64","sector_04","unvaccinated","susceptible"
"85",7,22630.9887971285,"20-64","sector_04","unvaccinated","susceptible"
"86",8,22630.9871899419,"20-64","sector_04","unvaccinated","susceptible"
"87",9,22630.9854007541,"20-64","sector_04","unvaccinated","susceptible"
"88",10,22630.9834048898,"20-64","sector_04","unvaccinated","susceptible"
"89",0,24642.9975357,"20-64","sector_05","unvaccinated","susceptible"
"90",1,24642.9961276476,"20-64","sector_05","unvaccinated","susceptible"
"91",2,24642.9949413803,"20-64","sector_05","unvaccinated","susceptible"
"92",3,24642.993823468,"20-64","sector_05","unvaccinated","susceptible"
"93",4,24642.9926863461,"20-64","sector_05","unvaccinated","susceptible"
"94",5,24642.9914765363,"20-64","sector_05","unvaccinated","susceptible"
"95",6,24642.9901577943,"20-64","sector_05","unvaccinated","susceptible"
"96",7,24642.9887021056,"20-64","sector_05","unvaccinated","susceptible"
"97",8,24642.9870848081,"20-64","sector_05","unvaccinated","susceptible"
"98",9,24642.9852818779,"20-64","sector_05","unvaccinated","susceptible"
"99",10,24642.9832683453,"20-64","sector_05","unvaccinated","susceptible"
"100",0,433189.956681,"20-64","sector_06","unvaccinated","susceptible"
"101",1,433189.928928598,"20-64","sector_06","unvaccinated","susceptible"
"102",2,433189.905429995,"20-64","sector_06","unvaccinated","susceptible"
"103",3,433189.883164399,"20-64","sector_06","unvaccinated","susceptible"
"104",4,433189.86041217,"20-64","sector_06","unvaccinated","susceptible"
"105",5,433189.836124598,"20-64","sector_06","unvaccinated","susceptible"
"106",6,433189.809590465,"20-64","sector_06","unvaccinated","susceptible"
"107",7,433189.780258358,"20-64","sector_06","unvaccinated","susceptible"
"108",8,433189.747640644,"20-64","sector_06","unvaccinated","susceptible"
"109",9,433189.711260175,"20-64","sector_06","unvaccinated","susceptible"
"110",10,433189.670619214,"20-64","sector_06","unvaccinated","susceptible"
"111",0,105607.9894392,"20-64","sector_07","unvaccinated","susceptible"
"112",1,105607.982638567,"20-64","sector_07","unvaccinated","susceptible"
"113",2,105607.976907171,"20-64","sector_07","unvaccinated","susceptible"
"114",3,105607.971517617,"20-64","sector_07","unvaccinated","susceptible"
"115",4,105607.966053454,"20-64","sector_07","unvaccinated","susceptible"
"116",5,105607.960259863,"20-64","sector_07","unvaccinated","susceptible"
"117",6,105607.953964209,"20-64","sector_07","unvaccinated","susceptible"
"118",7,105607.947033429,"20-64","sector_07","unvaccinated","susceptible"
"119",8,105607.939350843,"20-64","sector_07","unvaccinated","susceptible"
"120",9,105607.930803198,"20-64","sector_07","unvaccinated","susceptible"
"121",10,105607.921273084,"20-64","sector_07","unvaccinated","susceptible"
"122",0,78149.992185,"20-64","sector_08","unvaccinated","susceptible"
"123",1,78149.9876726704,"20-64","sector_08","unvaccinated","susceptible"
"124",2,78149.9839243452,"20-64","sector_08","unvaccinated","susceptible"
"125",3,78149.9804354541,"20-64","sector_08","unvaccinated","susceptible"
"126",4,78149.9769187895,"20-64","sector_08","unvaccinated","susceptible"
"127",5,78149.9732002096,"20-64","sector_08","unvaccinated","susceptible"
"128",6,78149.9691631665,"20-64","sector_08","unvaccinated","susceptible"
"129",7,78149.9647189986,"20-64","sector_08","unvaccinated","susceptible"
"130",8,78149.9597908168,"20-64","sector_08","unvaccinated","susceptible"
"131",9,78149.9543045498,"20-64","sector_08","unvaccinated","susceptible"
"132",10,78149.948183742,"20-64","sector_08","unvaccinated","susceptible"
"133",0,161427.9838572,"20-64","sector_09","unvaccinated","susceptible"
"134",1,161427.973928173,"20-64","sector_09","unvaccinated","susceptible"
"135",2,161427.965552071,"20-64","sector_09","unvaccinated","susceptible"
"136",3,161427.95764171,"20-64","sector_09","unvaccinated","susceptible"
"137",4,161427.949577634,"20-64","sector_09","unvaccinated","susceptible"
"138",5,161427.940982076,"20-64","sector_09","unvaccinated","susceptible"
"139",6,161427.931599175,"20-64","sector_09","unvaccinated","susceptible"
"140",7,161427.921231059,"20-64","sector_09","unvaccinated","susceptible"
"141",8,161427.909703254,"20-64","sector_09","unvaccinated","susceptible"
"142",9,161427.896845473,"20-64","sector_09","unvaccinated","susceptible"
"143",10,161427.882480411,"20-64","sector_09","unvaccinated","susceptible"
"144",0,9857.9990142,"20-64","sector_10","unvaccinated","susceptible"
"145",1,9857.99841138176,"20-64","sector_10","unvaccinated","susceptible"
"146",2,9857.99790153771,"20-64","sector_10","unvaccinated","susceptible"
"147",3,9857.99741923429,"20-64","sector_10","unvaccinated","susceptible"
"148",4,9857.9969271854,"20-64","sector_10","unvaccinated","susceptible"
"149",5,9857.99640263512,"20-64","sector_10","unvaccinated","susceptible"
"150",6,9857.99583014867,"20-64","sector_10","unvaccinated","susceptible"
"151",7,9857.99519776775,"20-64","sector_10","unvaccinated","susceptible"
"152",8,9857.99449493113,"20-64","sector_10","unvaccinated","susceptible"
"153",9,9857.99371131939,"20-64","sector_10","unvaccinated","susceptible"
"154",10,9857.99283618079,"20-64","sector_10","unvaccinated","susceptible"
"155",0,102388.9897611,"20-64","sector_11","unvaccinated","susceptible"
"156",1,102388.98339874,"20-64","sector_11","unvaccinated","susceptible"
"157",2,102388.978039894,"20-64","sector_11","unvaccinated","susceptible"
"158",3,102388.973004775,"20-64","sector_11","unvaccinated","susceptible"
"159",4,102388.967903939,"20-64","sector_11","unvaccinated","susceptible"
"160",5,102388.962498922,"20-64","sector_11","unvaccinated","susceptible"
"161",6,102388.956628072,"20-64","sector_11","unvaccinated","susceptible"
"162",7,102388.950166763,"20-64","sector_11","unvaccinated","susceptible"
"163",8,102388.943005747,"20-64","sector_11","unvaccinated","susceptible"
"164",9,102388.935039045,"20-64","sector_11","unvaccinated","susceptible"
"165",10,102388.926156851,"20-64","sector_11","unvaccinated","susceptible"
"166",0,47674.9952325,"20-64","sector_12","unvaccinated","susceptible"
"167",1,47674.9920586965,"20-64","sector_12","unvaccinated","susceptible"
"168",2,47674.9894256257,"20-64","sector_12","unvaccinated","susceptible"
"169",3,47674.9869730148,"20-64","sector_12","unvaccinated","susceptible"
"170",4,47674.9844968729,"20-64","sector_12","unvaccinated","susceptible"
"171",5,47674.9818743187,"20-64","sector_12","unvaccinated","susceptible"
"172",6,47674.9790236533,"20-64","sector_12","unvaccinated","susceptible"
"173",7,47674.9758830225,"20-64","sector_12","unvaccinated","susceptible"
"174",8,47674.9723988814,"20-64","sector_12","unvaccinated","susceptible"
"175",9,47674.9685196112,"20-64","sector_12","unvaccinated","susceptible"
"176",10,47674.9641918334,"20-64","sector_12","unvaccinated","susceptible"
"177",0,168468.9831531,"20-64","sector_13","unvaccinated","susceptible"
"178",1,168468.97294295,"20-64","sector_13","unvaccinated","susceptible"
"179",2,168468.96433251,"20-64","sector_13","unvaccinated","susceptible"
"180",3,168468.95620515,"20-64","sector_13","unvaccinated","susceptible"
"181",4,168468.947924407,"20-64","sector_13","unvaccinated","susceptible"
"182",5,168468.939102036,"20-64","sector_13","unvaccinated","susceptible"
"183",6,168468.929475066,"20-64","sector_13","unvaccinated","susceptible"
"184",7,168468.918840174,"20-64","sector_13","unvaccinated","susceptible"
"185",8,168468.907018164,"20-64","sector_13","unvaccinated","susceptible"
"186",9,168468.893834226,"20-64","sector_13","unvaccinated","susceptible"
"187",10,168468.879106427,"20-64","sector_13","unvaccinated","susceptible"
"188",0,94845.9905154,"20-64","sector_14","unvaccinated","susceptible"
"189",1,94845.9846725647,"20-64","sector_14","unvaccinated","susceptible"
"190",2,94845.9797300829,"20-64","sector_14","unvaccinated","susceptible"
"191",3,94845.975053499,"20-64","sector_14","unvaccinated","susceptible"
"192",4,94845.9702813348,"20-64","sector_14","unvaccinated","susceptible"
"193",5,94845.9651930055,"20-64","sector_14","unvaccinated","susceptible"
"194",6,94845.9596389003,"20-64","sector_14","unvaccinated","susceptible"
"195",7,94845.9535030976,"20-64","sector_14","unvaccinated","susceptible"
"196",8,94845.9466832008,"20-64","sector_14","unvaccinated","susceptible"
"197",9,94845.9390791385,"20-64","sector_14","unvaccinated","susceptible"
"198",10,94845.9305866287,"20-64","sector_14","unvaccinated","susceptible"
"199",0,67387.9932612,"20-64","sector_15","unvaccinated","susceptible"
"200",1,67387.9890557972,"20-64","sector_15","unvaccinated","susceptible"
"201",2,67387.9855134741,"20-64","sector_15","unvaccinated","susceptible"
"202",3,67387.9821848598,"20-64","sector_15","unvaccinated","susceptible"
"203",4,67387.9788125323,"20-64","sector_15","unvaccinated","susceptible"
"204",5,67387.9752388797,"20-64","sector_15","unvaccinated","susceptible"
"205",6,67387.9713570675,"20-64","sector_15","unvaccinated","susceptible"
"206",7,67387.9670847356,"20-64","sector_15","unvaccinated","susceptible"
"207",8,67387.9623496831,"20-64","sector_15","unvaccinated","susceptible"
"208",9,67387.9570818666,"20-64","sector_15","unvaccinated","susceptible"
"209",10,67387.95120871,"20-64","sector_15","unvaccinated","susceptible"
"210",0,317021.9682978,"20-64","sector_16","unvaccinated","susceptible"
"211",1,317021.948712075,"20-64","sector_16","unvaccinated","susceptible"
"212",2,317021.932458709,"20-64","sector_16","unvaccinated","susceptible"
"213",3,317021.917333753,"20-64","sector_16","unvaccinated","susceptible"
"214",4,317021.902085551,"20-64","sector_16","unvaccinated","susceptible"
"215",5,317021.885957505,"20-64","sector_16","unvaccinated","susceptible"
"216",6,317021.86844496,"20-64","sector_16","unvaccinated","susceptible"
"217",7,317021.849165095,"20-64","sector_16","unvaccinated","susceptible"
"218",8,317021.827786427,"20-64","sector_16","unvaccinated","susceptible"
"219",9,317021.803989708,"20-64","sector_16","unvaccinated","susceptible"
"220",10,317021.777445267,"20-64","sector_16","unvaccinated","susceptible"
"221",0,117978.9882021,"20-64","sector_17","unvaccinated","susceptible"
"222",1,117978.980736009,"20-64","sector_17","unvaccinated","susceptible"
"223",2,117978.974433094,"20-64","sector_17","unvaccinated","susceptible"
"224",3,117978.968473712,"20-64","sector_17","unvaccinated","susceptible"
"225",4,117978.962391175,"20-64","sector_17","unvaccinated","susceptible"
"226",5,117978.955901016,"20-64","sector_17","unvaccinated","susceptible"
"227",6,117978.94881056,"20-64","sector_17","unvaccinated","susceptible"
"228",7,117978.940970695,"20-64","sector_17","unvaccinated","susceptible"
"229",8,117978.932249796,"20-64","sector_17","unvaccinated","susceptible"
"230",9,117978.922519251,"20-64","sector_17","unvaccinated","susceptible"
"231",10,117978.911645024,"20-64","sector_17","unvaccinated","susceptible"
"232",0,81971.9918028,"20-64","sector_18","unvaccinated","susceptible"
"233",1,81971.9863483564,"20-64","sector_18","unvaccinated","susceptible"
"234",2,81971.9817248423,"20-64","sector_18","unvaccinated","susceptible"
"235",3,81971.977336779,"20-64","sector_18","unvaccinated","susceptible"
"236",4,81971.9728454714,"20-64","sector_18","unvaccinated","susceptible"
"237",5,81971.9680444771,"20-64","sector_18","unvaccinated","susceptible"
"238",6,81971.9627937654,"20-64","sector_18","unvaccinated","susceptible"
"239",7,81971.9569846586,"20-64","sector_18","unvaccinated","susceptible"
"240",8,81971.9505209039,"20-64","sector_18","unvaccinated","susceptible"
"241",9,81971.9433081769,"20-64","sector_18","unvaccinated","susceptible"
"242",10,81971.935247966,"20-64","sector_18","unvaccinated","susceptible"
"243",0,190897.9809102,"20-64","sector_19","unvaccinated","susceptible"
"244",1,190897.968459283,"20-64","sector_19","unvaccinated","susceptible"
"245",2,190897.957963356,"20-64","sector_19","unvaccinated","susceptible"
"246",3,190897.94808997,"20-64","sector_19","unvaccinated","susceptible"
"247",4,190897.938076458,"20-64","sector_19","unvaccinated","susceptible"
"248",5,190897.927456281,"20-64","sector_19","unvaccinated","susceptible"
"249",6,190897.915913425,"20-64","sector_19","unvaccinated","susceptible"
"250",7,190897.903204314,"20-64","sector_19","unvaccinated","susceptible"
"251",8,190897.889115328,"20-64","sector_19","unvaccinated","susceptible"
"252",9,190897.873439068,"20-64","sector_19","unvaccinated","susceptible"
"253",10,190897.855960458,"20-64","sector_19","unvaccinated","susceptible"
"254",0,163540.9836459,"20-64","sector_20","unvaccinated","susceptible"
"255",1,163540.972772587,"20-64","sector_20","unvaccinated","susceptible"
"256",2,163540.963751822,"20-64","sector_20","unvaccinated","susceptible"
"257",3,163540.955349532,"20-64","sector_20","unvaccinated","susceptible"
"258",4,163540.946866928,"20-64","sector_20","unvaccinated","susceptible"
"259",5,163540.937883047,"20-64","sector_20","unvaccinated","susceptible"
"260",6,163540.928117993,"20-64","sector_20","unvaccinated","susceptible"
"261",7,163540.917359854,"20-64","sector_20","unvaccinated","susceptible"
"262",8,163540.905425186,"20-64","sector_20","unvaccinated","susceptible"
"263",9,163540.892137149,"20-64","sector_20","unvaccinated","susceptible"
"264",10,163540.877312881,"20-64","sector_20","unvaccinated","susceptible"
"265",0,136685.9863314,"20-64","sector_21","unvaccinated","susceptible"
"266",1,136685.978318017,"20-64","sector_21","unvaccinated","susceptible"
"267",2,136685.971564344,"20-64","sector_21","unvaccinated","susceptible"
"268",3,136685.965195989,"20-64","sector_21","unvaccinated","susceptible"
"269",4,136685.958714186,"20-64","sector_21","unvaccinated","susceptible"
"270",5,136685.951814486,"20-64","sector_21","unvaccinated","susceptible"
"271",6,136685.944290619,"20-64","sector_21","unvaccinated","susceptible"
"272",7,136685.935983148,"20-64","sector_21","unvaccinated","susceptible"
"273",8,136685.926751663,"20-64","sector_21","unvaccinated","susceptible"
"274",9,136685.91645932,"20-64","sector_21","unvaccinated","susceptible"
"275",10,136685.904963809,"20-64","sector_21","unvaccinated","susceptible"
"276",0,311490.9688509,"20-64","sector_22","unvaccinated","susceptible"
"277",1,311490.94851616,"20-64","sector_22","unvaccinated","susceptible"
"278",2,311490.931289173,"20-64","sector_22","unvaccinated","susceptible"
"279",3,311490.914953445,"20-64","sector_22","unvaccinated","susceptible"
"280",4,311490.898247731,"20-64","sector_22","unvaccinated","susceptible"
"281",5,311490.880403083,"20-64","sector_22","unvaccinated","susceptible"
"282",6,311490.860897985,"20-64","sector_22","unvaccinated","susceptible"
"283",7,311490.83932792,"20-64","sector_22","unvaccinated","susceptible"
"284",8,311490.81533491,"20-64","sector_22","unvaccinated","susceptible"
"285",9,311490.788568428,"20-64","sector_22","unvaccinated","susceptible"
"286",10,311490.758662615,"20-64","sector_22","unvaccinated","susceptible"
"287",0,147246.9852753,"20-64","sector_23","unvaccinated","susceptible"
"288",1,147246.97565368,"20-64","sector_23","unvaccinated","susceptible"
"289",2,147246.9675425,"20-64","sector_23","unvaccinated","susceptible"
"290",3,147246.959912008,"20-64","sector_23","unvaccinated","susceptible"
"291",4,147246.952172815,"20-64","sector_23","unvaccinated","susceptible"
"292",5,147246.943964393,"20-64","sector_23","unvaccinated","susceptible"
"293",6,147246.935042543,"20-64","sector_23","unvaccinated","susceptible"
"294",7,147246.925219043,"20-64","sector_23","unvaccinated","susceptible"
"295",8,147246.91432881,"20-64","sector_23","unvaccinated","susceptible"
"296",9,147246.902211567,"20-64","sector_23","unvaccinated","susceptible"
"297",10,147246.888701096,"20-64","sector_23","unvaccinated","susceptible"
"298",0,191701.9808298,"20-64","sector_24","unvaccinated","susceptible"
"299",1,191701.968178827,"20-64","sector_24","unvaccinated","susceptible"
"300",2,191701.957683372,"20-64","sector_24","unvaccinated","susceptible"
"301",3,191701.947908968,"20-64","sector_24","unvaccinated","susceptible"
"302",4,191701.938043104,"20-64","sector_24","unvaccinated","susceptible"
"303",5,191701.927596138,"20-64","sector_24","unvaccinated","susceptible"
"304",6,191701.916242419,"20-64","sector_24","unvaccinated","susceptible"
"305",7,191701.903735359,"20-64","sector_24","unvaccinated","susceptible"
"306",8,191701.88986151,"20-64","sector_24","unvaccinated","susceptible"
"307",9,191701.874415138,"20-64","sector_24","unvaccinated","susceptible"
"308",10,191701.857183544,"20-64","sector_24","unvaccinated","susceptible"
"309",0,2326568.7673431,"20-64","sector_25","unvaccinated","susceptible"
"310",1,2326568.64137985,"20-64","sector_25","unvaccinated","susceptible"
"311",2,2326568.53530637,"20-64","sector_25","unvaccinated","susceptible"
"312",3,2326568.43542187,"20-64","sector_25","unvaccinated","susceptible"
"313",4,2326568.33390021,"20-64","sector_25","unvaccinated","susceptible"
"314",5,2326568.22595675,"20-64","sector_25","unvaccinated","susceptible"
"315",6,2326568.10834582,"20-64","sector_25","unvaccinated","susceptible"
"316",7,2326567.97855771,"20-64","sector_25","unvaccinated","susceptible"
"317",8,2326567.83438344,"20-64","sector_25","unvaccinated","susceptible"
"318",9,2326567.6736725,"20-64","sector_25","unvaccinated","susceptible"
"319",10,2326567.49419122,"20-64","sector_25","unvaccinated","susceptible"
"320",0,4819793.5180206,"20-64","sector_26","unvaccinated","susceptible"
"321",1,4819793.13429246,"20-64","sector_26","unvaccinated","susceptible"
"322",2,4819792.80656047,"20-64","sector_26","unvaccinated","susceptible"
"323",3,4819792.49194786,"20-64","sector_26","unvaccinated","susceptible"
"324",4,4819792.16615639,"20-64","sector_26","unvaccinated","susceptible"
"325",5,4819791.81436785,"20-64","sector_26","unvaccinated","susceptible"
"326",6,4819791.4264607,"20-64","sector_26","unvaccinated","susceptible"
"327",7,4819790.99447903,"20-64","sector_26","unvaccinated","susceptible"
"328",8,4819790.5112749,"20-64","sector_26","unvaccinated","susceptible"
"329",9,4819789.96975977,"20-64","sector_26","unvaccinated","susceptible"
"330",10,4819789.36246945,"20-64","sector_26","unvaccinated","susceptible"
"331",0,787223.9212776,"20-64","sector_27","unvaccinated","susceptible"
"332",1,787223.866714588,"20-64","sector_27","unvaccinated","susceptible"
"333",2,787223.820651879,"20-64","sector_27","unvaccinated","susceptible"
"334",3,787223.777229677,"20-64","sector_27","unvaccinated","susceptible"
"335",4,787223.733098389,"20-64","sector_27","unvaccinated","susceptible"
"336",5,787223.686211449,"20-64","sector_27","unvaccinated","susceptible"
"337",6,787223.635183355,"20-64","sector_27","unvaccinated","susceptible"
"338",7,787223.578945652,"20-64","sector_27","unvaccinated","susceptible"
"339",8,787223.516559963,"20-64","sector_27","unvaccinated","susceptible"
"340",9,787223.447113657,"20-64","sector_27","unvaccinated","susceptible"
"341",10,787223.36965881,"20-64","sector_27","unvaccinated","susceptible"
"342",0,14886.9985113,"20-64","sector_28","unvaccinated","susceptible"
"343",1,14886.9976375444,"20-64","sector_28","unvaccinated","susceptible"
"344",2,14886.9969119508,"20-64","sector_28","unvaccinated","susceptible"
"345",3,14886.9962366794,"20-64","sector_28","unvaccinated","susceptible"
"346",4,14886.9955560667,"20-64","sector_28","unvaccinated","susceptible"
"347",5,14886.9948363867,"20-64","sector_28","unvaccinated","susceptible"
"348",6,14886.9940550866,"20-64","sector_28","unvaccinated","susceptible"
"349",7,14886.9931950225,"20-64","sector_28","unvaccinated","susceptible"
"350",8,14886.9922413343,"20-64","sector_28","unvaccinated","susceptible"
"351",9,14886.9911797082,"20-64","sector_28","unvaccinated","susceptible"
"352",10,14886.9899953698,"20-64","sector_28","unvaccinated","susceptible"
"353",0,78451.9921548,"20-64","sector_29","unvaccinated","susceptible"
"354",1,78451.9870425916,"20-64","sector_29","unvaccinated","susceptible"
"355",2,78451.9827231036,"20-64","sector_29","unvaccinated","susceptible"
"356",3,78451.9786333457,"20-64","sector_29","unvaccinated","susceptible"
"357",4,78451.9744530024,"20-64","sector_29","unvaccinated","susceptible"
"358",5,78451.9699869035,"20-64","sector_29","unvaccinated","susceptible"
"359",6,78451.9651028191,"20-64","sector_29","unvaccinated","susceptible"
"360",7,78451.9596983077,"20-64","sector_29","unvaccinated","susceptible"
"361",8,78451.9536828074,"20-64","sector_29","unvaccinated","susceptible"
"362",9,78451.9469677033,"20-64","sector_29","unvaccinated","susceptible"
"363",10,78451.9394605441,"20-64","sector_29","unvaccinated","susceptible"
"364",0,408346.9591653,"20-64","sector_30","unvaccinated","susceptible"
"365",1,408346.929656127,"20-64","sector_30","unvaccinated","susceptible"
"366",2,408346.904567434,"20-64","sector_30","unvaccinated","susceptible"
"367",3,408346.880649191,"20-64","sector_30","unvaccinated","susceptible"
"368",4,408346.856056318,"20-64","sector_30","unvaccinated","susceptible"
"369",5,408346.829664834,"20-64","sector_30","unvaccinated","susceptible"
"370",6,408346.800711051,"20-64","sector_30","unvaccinated","susceptible"
"371",7,408346.768599909,"20-64","sector_30","unvaccinated","susceptible"
"372",8,408346.732801764,"20-64","sector_30","unvaccinated","susceptible"
"373",9,408346.692795289,"20-64","sector_30","unvaccinated","susceptible"
"374",10,408346.648034251,"20-64","sector_30","unvaccinated","susceptible"
"375",0,272164.9727835,"20-64","sector_31","unvaccinated","susceptible"
"376",1,272164.951876023,"20-64","sector_31","unvaccinated","susceptible"
"377",2,272164.934164302,"20-64","sector_31","unvaccinated","susceptible"
"378",3,272164.917380495,"20-64","sector_31","unvaccinated","susceptible"
"379",4,272164.900231408,"20-64","sector_31","unvaccinated","susceptible"
"380",5,272164.881927927,"20-64","sector_31","unvaccinated","susceptible"
"381",6,272164.861935297,"20-64","sector_31","unvaccinated","susceptible"
"382",7,272164.839839623,"20-64","sector_31","unvaccinated","susceptible"
"383",8,272164.815275514,"20-64","sector_31","unvaccinated","susceptible"
"384",9,272164.787885826,"20-64","sector_31","unvaccinated","susceptible"
"385",10,272164.757298149,"20-64","sector_31","unvaccinated","susceptible"
"386",0,2197224.7802775,"20-64","sector_32","unvaccinated","susceptible"
"387",1,2197224.59899112,"20-64","sector_32","unvaccinated","susceptible"
"388",2,2197224.44799003,"20-64","sector_32","unvaccinated","susceptible"
"389",3,2197224.30593911,"20-64","sector_32","unvaccinated","susceptible"
"390",4,2197224.16086908,"20-64","sector_32","unvaccinated","susceptible"
"391",5,2197224.0056177,"20-64","sector_32","unvaccinated","susceptible"
"392",6,2197223.83542658,"20-64","sector_32","unvaccinated","susceptible"
"393",7,2197223.64666839,"20-64","sector_32","unvaccinated","susceptible"
"394",8,2197223.43616566,"20-64","sector_32","unvaccinated","susceptible"
